Xnom,Ynom,Znom,Xmeas,Ymeas,Zmeas
38.507000,33.743000,45.312000,129.178400,-183.459100,-68.539700,
35.496000,-34.144000,45.195000,62.405400,-196.077300,-68.694700,
-35.507000,-34.136000,45.197000,46.139400,-126.959100,-68.918100,
-38.496000,33.745000,45.312000,111.540100,-108.497300,-68.903900,
