MtoS.X,MtoS.Y,MtoS.Z,MtoS.rX,MtoS.rY,MtoS.rZ,A_x,StoFRC.X,StoFRC.Y,StoFRC.Z,StoFRC.rX,StoFRC.rY,StoFRC.rZ
0.000,-0.035,0.042,-9.793460,0.045080,0.027096,-0.027986,537.862,1.104,30.167,-9.790740,-0.145501,-0.088369,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.035,0.039,-9.793019,-0.006943,0.021895,0.000416,537.845,1.102,30.167,-9.791789,-0.151459,-0.035381,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.036,0.038,-9.793573,-0.010580,0.033323,-0.004332,537.847,1.102,30.167,-9.791710,-0.148658,-0.038005,
0.000,-0.035,0.039,-9.793019,-0.006943,0.021895,0.000416,537.845,1.102,30.167,-9.791789,-0.151459,-0.035381,
0.000,-0.056,-0.066,-11.522966,0.034779,-0.001963,0.000102,78.174,-4.883,-53.799,-15.191207,11.554405,90.156771,
0.000,-0.056,-0.065,-11.517811,0.034764,-0.001920,0.000097,78.176,-5.727,-53.570,-15.191203,11.549237,90.156764,
0.000,-0.005,-0.032,-11.496042,-0.009712,-0.016810,0.001402,78.176,-6.091,-53.477,-15.195766,11.774773,90.157957,
0.000,-0.005,-0.032,-11.500502,-0.009662,-0.016853,0.001404,78.174,-5.508,-53.635,-15.195771,11.779233,90.157959,
0.000,-0.005,-0.032,-11.496042,-0.009712,-0.016810,0.001402,78.176,-6.091,-53.477,-15.195766,11.774773,90.157957,
0.000,-0.005,-0.032,-11.487539,-0.009711,-0.016808,0.001401,78.178,-7.056,-53.216,-15.195741,11.766271,90.157950,
0.000,-0.005,-0.032,-11.496042,-0.009712,-0.016810,0.001402,78.176,-6.091,-53.477,-15.195766,11.774773,90.157957,
0.000,-0.005,-0.032,-11.500502,-0.009662,-0.016853,0.001404,78.174,-5.508,-53.635,-15.195771,11.779233,90.157959,
0.000,-0.005,-0.032,-11.496042,-0.009712,-0.016810,0.001402,78.176,-6.091,-53.477,-15.195766,11.774773,90.157957,
0.000,-0.100,0.010,-0.006297,0.000872,0.004543,0.007774,3.766,-0.323,-0.046,-0.006293,-0.003292,0.020110,
